,catid,coid,phesid,type,logarithm_p,r_chronotype,p_chronotype,i,true_catid
552,32,4935_15.0,4935_15.0,15,0.090249145,-0.001443894,0.812364347,552,32
553,32,4935_14.0,4935_14.0,14,1.117268072,0.010780378,0.076336445,553,32
554,32,4935_13.0,4935_13.0,13,0.935573248,0.009560723,0.115991657,554,32
555,32,20185_2.0,20185_2.0,2,0.735505348,-0.008083509,0.183863131,555,32
556,32,4979_1.0,4979_1.0,1,0.624155904,-0.007183648,0.23759872,556,32
557,32,4292_3.0,4292_3.0,3,0.891387062,0.009247864,0.128414167,557,32
558,32,6332-2.0,6332#1,1,0.870882579,-0.009100274,0.134622428,558,32
559,32,6771-2.0,6771,,0.557121235,-0.006608836,0.277254603,559,32
560,32,6333-2.0,6333,,1.082674218,0.010555784,0.082665783,560,32
561,32,20152-0.0,20152,,0.476342264,0.005877213,0.333931767,561,32
562,32,10610-0.0,10610,,1.54894612,0.013343441,0.028252305,562,32
563,32,10141-0.0,10141,,2.708339109,0.018834252,0.001957316,563,32
564,32,6332-2.0,6332#4,4,0.122553765,0.001905092,0.754130029,564,32
565,32,6332-2.0,6332#6,6,1.738924091,-0.014358506,0.018242145,565,32
566,32,6332-2.0,6332#7,7,0.32803879,-0.004396072,0.469852141,566,32
567,32,6332-2.0,6332#0,0,0.152163985,0.00230748,0.704427035,567,32
568,32,5001_4.0,5001_4.0,4,0.004585116,-8.01E-05,0.989497915,568,32
569,32,6332-2.0,6332#5,5,1.951234039,0.015429458,0.011188348,569,32
570,32,4285-0.0,4285,,0.048908926,0.000814389,0.893492834,570,32
571,32,4292_0.0,4292_0.0,0,4.109030522,-0.024029822,7.78E-05,571,32
572,32,6332-2.0,6332#2,2,2.032182527,0.015822267,0.00928576,572,32
573,32,4294-0.0,4294,,2.976154577,0.019919187,0.001056441,573,32
574,32,4979_4.0,4979_4.0,4,0.636864782,0.007289653,0.230746551,574,32
575,32,4979_5.0,4979_5.0,5,1.003070472,-0.010025748,0.099295491,575,32
576,32,4990_68.0,4990_68.0,68,0.205450426,0.002989512,0.623088268,576,32
577,32,4990_69.0,4990_69.0,69,0.610630479,0.007069827,0.245114792,577,32
578,32,4990_70.0,4990_70.0,70,1.749716438,-0.014414473,0.017794409,578,32
579,32,4990_71.0,4990_71.0,71,0.11862876,-0.001850351,0.760976491,579,32
580,32,4990_72.0,4990_72.0,72,0.925062777,-0.00948693,0.118833044,580,32
581,32,5001_1.0,5001_1.0,1,0.307092494,-0.00416929,0.493068782,581,32
582,32,5001_2.0,5001_2.0,2,0.852976844,-0.00897009,0.14028885,582,32
583,32,6332-2.0,6332#3,3,0.054861945,-0.000908055,0.881328989,583,32
584,32,4924-3.0,4924,,0.580819739,0.006815168,0.262530799,584,32
585,32,5001_3.0,5001_3.0,3,0.061415003,0.001009934,0.868130466,585,32
586,32,4291-0.0,4291,,1.696515912,-0.01413689,0.020113335,586,32
587,32,6362_7.0,6362_7.0,7,0.201622087,0.002942146,0.628605119,587,32
588,32,5012_28.0,5012_28.0,28,0.779703349,-0.008424013,0.16607209,588,32
589,32,5012_29.0,5012_29.0,29,1.108338476,-0.010722723,0.077922257,589,32
590,32,5556_1.0,5556_1.0,1,1.085387953,-0.010573524,0.082150847,590,32
591,32,5556_4.0,5556_4.0,4,1.200007633,0.011304501,0.063094626,591,32
592,32,5556_5.0,5556_5.0,5,0.776262434,0.008397816,0.167393105,592,32
593,32,5699_92.0,5699_92.0,92,0.046718718,-0.000779653,0.898010226,593,32
594,32,5699_93.0,5699_93.0,93,0.357139776,-0.004703164,0.439400174,594,32
595,32,6362_3.0,6362_3.0,3,0.005441962,9.49E-05,0.9875476,595,32
596,32,5699_95.0,5699_95.0,95,1.701132699,0.014161149,0.019900652,596,32
597,32,5699_94.0,5699_94.0,94,2.22276917,0.016717014,0.005987297,597,32
598,32,5779_1.0,5779_1.0,1,0.270824042,-0.003764284,0.536013784,598,32
599,32,5012_27.0,5012_27.0,27,0.312493059,0.004228241,0.486975308,599,32
600,32,6362_1.0,6362_1.0,1,0.55435095,-0.006584483,0.279028812,600,32
601,32,5790_50.0,5790_50.0,50,0.142823602,0.002182502,0.719741257,601,32
602,32,5790_49.0,5790_49.0,49,0.276557393,0.003829402,0.528984087,602,32
603,32,5790_48.0,5790_48.0,48,0.402955156,0.005169367,0.395407447,603,32
604,32,5790_47.0,5790_47.0,47,0.054861945,0.000908055,0.881328989,604,32
605,32,5790_46.0,5790_46.0,46,0.650769281,0.007404607,0.223475912,605,32
606,32,5790_45.0,5790_45.0,45,0.357421971,0.004706099,0.439114753,606,32
607,32,5779_5.0,5779_5.0,5,1.174763126,0.011146468,0.066870855,607,32
608,32,5779_4.0,5779_4.0,4,0.20414699,0.002973412,0.624961135,608,32
609,32,5779_2.0,5779_2.0,2,0.132835902,-0.002046898,0.736485325,609,32
610,32,5699_96.0,5699_96.0,96,0.573108733,0.006748419,0.267233726,610,32
611,32,20185_4.0,20185_4.0,4,0.004428609,-7.73E-05,0.989854567,611,32
612,32,6362_0.0,6362_0.0,0,0.038640401,-0.000650225,0.914870447,612,32
613,32,5012_26.0,5012_26.0,26,0.414229032,0.00528108,0.385275123,613,32
614,32,6362_2.0,6362_2.0,2,0.096615117,-0.001536758,0.800543402,614,32
615,32,6362_6.0,6362_6.0,6,0.003841629,6.71E-05,0.991193331,615,32
616,32,6362_8.0,6362_8.0,8,1.197327418,-0.011287798,0.063485213,616,32
617,32,6362_9.0,6362_9.0,9,0.563101559,-0.006661239,0.273462916,617,32
618,32,6362_10.0,6362_10.0,10,0.155098247,-0.002346387,0.699683694,618,32
619,32,6362_11.0,6362_11.0,11,0.461977002,-0.005742121,0.345162017,619,32
620,32,6362_12.0,6362_12.0,12,0.612020919,-0.007081577,0.244331286,620,32
621,32,6362_13.0,6362_13.0,13,0.618661043,0.007137534,0.240624008,621,32
622,32,6362_14.0,6362_14.0,14,0.072555923,-0.001180296,0.846143605,622,32
623,32,6362_15.0,6362_15.0,15,0.836731136,0.008850899,0.145636041,623,32
